NIM,Nama Mahasiswa,Jenis Kelamin,Tanggal Lahir,Alamat,Program Studi,Tahun Masuk
NIM00280,Mahasiswa_280,Perempuan,6/18/2003 0:00,Yogyakarta,Akuntansi,2019
NIM00281,Mahasiswa_281,Perempuan,9/29/1995 0:00,Surabaya,Kedokteran,2021
NIM00282,Mahasiswa_282,Perempuan,3/9/1999 0:00,Jakarta,Manajemen,2019
NIM00283,Mahasiswa_283,Perempuan,12/21/2002 0:00,Bandung,Teknik Informatika,2018
NIM00284,Mahasiswa_284,Laki-Laki,9/8/1996 0:00,Jakarta,Manajemen,2018
NIM00285,Mahasiswa_285,Perempuan,2/17/1998 0:00,Medan,Kedokteran,2020
NIM00286,Mahasiswa_286,Laki-Laki,7/3/2001 0:00,Surabaya,Teknik Informatika,2019
NIM00287,Mahasiswa_287,Laki-Laki,11/16/1997 0:00,Jakarta,Kedokteran,2022
NIM00288,Mahasiswa_288,Laki-Laki,7/6/1999 0:00,Yogyakarta,Manajemen,2018
NIM00289,Mahasiswa_289,Laki-Laki,3/31/2002 0:00,Surabaya,Akuntansi,2021
NIM00290,Mahasiswa_290,Perempuan,11/27/2004 0:00,Yogyakarta,Manajemen,2017
NIM00291,Mahasiswa_291,Laki-Laki,5/19/1997 0:00,Jakarta,Manajemen,2017
NIM00292,Mahasiswa_292,Laki-Laki,12/23/1998 0:00,Surabaya,Manajemen,2023
NIM00293,Mahasiswa_293,Laki-Laki,3/30/2003 0:00,Yogyakarta,Hukum,2019
NIM00294,Mahasiswa_294,Perempuan,10/1/2001 0:00,Medan,Kedokteran,2022
NIM00295,Mahasiswa_295,Perempuan,1/19/1995 0:00,Medan,Kedokteran,2020
NIM00296,Mahasiswa_296,Perempuan,11/7/1998 0:00,Jakarta,Kedokteran,2021
NIM00297,Mahasiswa_297,Perempuan,12/24/1998 0:00,Surabaya,Hukum,2019
NIM00298,Mahasiswa_298,Laki-Laki,6/3/2003 0:00,Bandung,Akuntansi,2023
NIM00299,Mahasiswa_299,Laki-Laki,9/16/2000 0:00,Surabaya,Manajemen,2017
NIM00300,Mahasiswa_300,Perempuan,4/18/2003 0:00,Medan,Akuntansi,2019
NIM00301,Mahasiswa_301,Laki-Laki,10/11/2000 0:00,Yogyakarta,Hukum,2021
NIM00302,Mahasiswa_302,Laki-Laki,2/28/2000 0:00,Bandung,Kedokteran,2022
NIM00303,Mahasiswa_303,Laki-Laki,5/5/1999 0:00,Jakarta,Manajemen,2022
NIM00304,Mahasiswa_304,Perempuan,12/20/1999 0:00,Bandung,Teknik Informatika,2018
NIM00305,Mahasiswa_305,Perempuan,9/29/1996 0:00,Jakarta,Teknik Informatika,2021
NIM00306,Mahasiswa_306,Laki-Laki,4/17/2002 0:00,Bandung,Akuntansi,2023
NIM00307,Mahasiswa_307,Perempuan,10/26/2002 0:00,Jakarta,Kedokteran,2018
NIM00308,Mahasiswa_308,Perempuan,9/2/1995 0:00,Jakarta,Teknik Informatika,2018
NIM00309,Mahasiswa_309,Perempuan,12/2/2002 0:00,Bandung,Akuntansi,2018
NIM00310,Mahasiswa_310,Perempuan,9/4/1999 0:00,Bandung,Hukum,2019
NIM00311,Mahasiswa_311,Perempuan,1/8/1996 0:00,Jakarta,Akuntansi,2023
NIM00312,Mahasiswa_312,Laki-Laki,5/20/1996 0:00,Medan,Akuntansi,2017
NIM00313,Mahasiswa_313,Perempuan,12/27/2000 0:00,Bandung,Akuntansi,2022
NIM00314,Mahasiswa_314,Laki-Laki,1/8/2003 0:00,Surabaya,Manajemen,2019
NIM00315,Mahasiswa_315,Laki-Laki,12/18/1995 0:00,Yogyakarta,Akuntansi,2017
NIM00316,Mahasiswa_316,Perempuan,4/3/2000 0:00,Jakarta,Akuntansi,2022
NIM00317,Mahasiswa_317,Laki-Laki,11/17/2003 0:00,Jakarta,Manajemen,2023
NIM00318,Mahasiswa_318,Laki-Laki,2/8/2002 0:00,Yogyakarta,Manajemen,2023
NIM00319,Mahasiswa_319,Laki-Laki,3/21/2000 0:00,Medan,Hukum,2021
NIM00320,Mahasiswa_320,Perempuan,7/6/1997 0:00,Yogyakarta,Kedokteran,2022
NIM00321,Mahasiswa_321,Perempuan,3/25/2002 0:00,Bandung,Teknik Informatika,2022
NIM00322,Mahasiswa_322,Laki-Laki,3/29/2003 0:00,Yogyakarta,Teknik Informatika,2023
NIM00323,Mahasiswa_323,Perempuan,8/30/1995 0:00,Jakarta,Akuntansi,2022
NIM00324,Mahasiswa_324,Perempuan,12/8/2003 0:00,Yogyakarta,Hukum,2020
NIM00325,Mahasiswa_325,Perempuan,4/2/2000 0:00,Surabaya,Akuntansi,2021
NIM00326,Mahasiswa_326,Perempuan,3/26/2000 0:00,Bandung,Teknik Informatika,2019
NIM00327,Mahasiswa_327,Laki-Laki,2/13/1998 0:00,Yogyakarta,Manajemen,2019
NIM00328,Mahasiswa_328,Laki-Laki,5/17/1995 0:00,Jakarta,Kedokteran,2017
NIM00329,Mahasiswa_329,Perempuan,3/14/2004 0:00,Bandung,Hukum,2019
NIM00330,Mahasiswa_330,Perempuan,2/5/2002 0:00,Jakarta,Manajemen,2018
NIM00331,Mahasiswa_331,Laki-Laki,4/10/1996 0:00,Medan,Kedokteran,2022
NIM00332,Mahasiswa_332,Laki-Laki,6/5/1995 0:00,Surabaya,Hukum,2019
NIM00333,Mahasiswa_333,Perempuan,9/11/1996 0:00,Medan,Hukum,2017
NIM00334,Mahasiswa_334,Laki-Laki,6/20/1995 0:00,Surabaya,Teknik Informatika,2017
NIM00335,Mahasiswa_335,Perempuan,8/4/1995 0:00,Yogyakarta,Manajemen,2018
NIM00336,Mahasiswa_336,Perempuan,6/19/2003 0:00,Bandung,Hukum,2017
NIM00337,Mahasiswa_337,Laki-Laki,9/9/1995 0:00,Yogyakarta,Hukum,2023
NIM00338,Mahasiswa_338,Laki-Laki,12/26/1998 0:00,Surabaya,Kedokteran,2020
NIM00339,Mahasiswa_339,Perempuan,11/17/2004 0:00,Surabaya,Teknik Informatika,2023
NIM00340,Mahasiswa_340,Perempuan,2/24/2000 0:00,Surabaya,Akuntansi,2022
NIM00341,Mahasiswa_341,Laki-Laki,4/1/2001 0:00,Jakarta,Teknik Informatika,2022
NIM00342,Mahasiswa_342,Perempuan,10/4/1996 0:00,Bandung,Akuntansi,2022
NIM00343,Mahasiswa_343,Laki-Laki,4/10/2000 0:00,Yogyakarta,Manajemen,2021
NIM00344,Mahasiswa_344,Perempuan,6/4/2001 0:00,Yogyakarta,Manajemen,2019
NIM00345,Mahasiswa_345,Laki-Laki,12/14/2004 0:00,Medan,Hukum,2020
NIM00346,Mahasiswa_346,Laki-Laki,12/29/2004 0:00,Surabaya,Manajemen,2019
NIM00347,Mahasiswa_347,Laki-Laki,5/20/1996 0:00,Surabaya,Hukum,2020
NIM00348,Mahasiswa_348,Perempuan,6/21/1996 0:00,Surabaya,Teknik Informatika,2019
NIM00349,Mahasiswa_349,Perempuan,1/10/2004 0:00,Yogyakarta,Manajemen,2018
NIM00350,Mahasiswa_350,Laki-Laki,8/16/2001 0:00,Medan,Teknik Informatika,2023
NIM00351,Mahasiswa_351,Perempuan,9/22/1995 0:00,Jakarta,Teknik Informatika,2017
NIM00352,Mahasiswa_352,Laki-Laki,9/5/2002 0:00,Bandung,Manajemen,2017
NIM00353,Mahasiswa_353,Laki-Laki,9/4/1997 0:00,Jakarta,Teknik Informatika,2023
NIM00354,Mahasiswa_354,Perempuan,6/3/2000 0:00,Yogyakarta,Manajemen,2018
NIM00355,Mahasiswa_355,Perempuan,2/3/2003 0:00,Surabaya,Manajemen,2020
NIM00356,Mahasiswa_356,Laki-Laki,5/8/2000 0:00,Bandung,Manajemen,2023
NIM00357,Mahasiswa_357,Perempuan,6/9/2003 0:00,Yogyakarta,Akuntansi,2021
NIM00358,Mahasiswa_358,Perempuan,3/30/2001 0:00,Yogyakarta,Teknik Informatika,2020
NIM00359,Mahasiswa_359,Laki-Laki,4/3/2003 0:00,Yogyakarta,Kedokteran,2017
NIM00360,Mahasiswa_360,Laki-Laki,11/22/1996 0:00,Bandung,Manajemen,2021
NIM00361,Mahasiswa_361,Perempuan,8/29/2002 0:00,Bandung,Teknik Informatika,2019
NIM00362,Mahasiswa_362,Laki-Laki,11/19/2002 0:00,Medan,Hukum,2021
NIM00363,Mahasiswa_363,Laki-Laki,4/26/1996 0:00,Medan,Manajemen,2020
NIM00364,Mahasiswa_364,Perempuan,4/4/1998 0:00,Jakarta,Manajemen,2018
NIM00365,Mahasiswa_365,Laki-Laki,6/12/2001 0:00,Bandung,Kedokteran,2019
NIM00366,Mahasiswa_366,Laki-Laki,4/9/1998 0:00,Bandung,Akuntansi,2020
NIM00367,Mahasiswa_367,Perempuan,4/23/1998 0:00,Bandung,Akuntansi,2019
NIM00368,Mahasiswa_368,Perempuan,12/24/2000 0:00,Medan,Manajemen,2021
NIM00369,Mahasiswa_369,Laki-Laki,3/31/2004 0:00,Yogyakarta,Teknik Informatika,2017
NIM00370,Mahasiswa_370,Laki-Laki,12/11/2000 0:00,Surabaya,Hukum,2020
NIM00371,Mahasiswa_371,Perempuan,7/24/2004 0:00,Medan,Hukum,2018
NIM00372,Mahasiswa_372,Perempuan,1/17/1997 0:00,Bandung,Teknik Informatika,2023
NIM00373,Mahasiswa_373,Perempuan,10/1/2003 0:00,Medan,Manajemen,2021
NIM00374,Mahasiswa_374,Perempuan,6/21/2004 0:00,Jakarta,Hukum,2020
NIM00375,Mahasiswa_375,Laki-Laki,4/25/1996 0:00,Bandung,Akuntansi,2018
NIM00376,Mahasiswa_376,Perempuan,12/14/2000 0:00,Jakarta,Teknik Informatika,2020
NIM00377,Mahasiswa_377,Perempuan,6/30/2001 0:00,Bandung,Kedokteran,2021
NIM00378,Mahasiswa_378,Laki-Laki,4/1/2003 0:00,Medan,Manajemen,2020
NIM00379,Mahasiswa_379,Perempuan,3/23/1997 0:00,Yogyakarta,Teknik Informatika,2019
NIM00380,Mahasiswa_380,Laki-Laki,11/19/2004 0:00,Surabaya,Hukum,2021
NIM00381,Mahasiswa_381,Perempuan,4/24/1997 0:00,Jakarta,Manajemen,2020
NIM00382,Mahasiswa_382,Perempuan,9/14/2001 0:00,Medan,Akuntansi,2023
NIM00383,Mahasiswa_383,Perempuan,2/27/1998 0:00,Yogyakarta,Manajemen,2017
NIM00384,Mahasiswa_384,Laki-Laki,6/3/2002 0:00,Medan,Manajemen,2020
NIM00385,Mahasiswa_385,Laki-Laki,12/31/2001 0:00,Jakarta,Akuntansi,2019
NIM00386,Mahasiswa_386,Perempuan,4/26/1999 0:00,Surabaya,Akuntansi,2018
NIM00387,Mahasiswa_387,Laki-Laki,12/9/2001 0:00,Medan,Manajemen,2023
NIM00388,Mahasiswa_388,Laki-Laki,9/23/1997 0:00,Bandung,Akuntansi,2018
NIM00389,Mahasiswa_389,Laki-Laki,11/10/1996 0:00,Yogyakarta,Teknik Informatika,2023
NIM00390,Mahasiswa_390,Laki-Laki,7/21/2000 0:00,Medan,Akuntansi,2018
NIM00391,Mahasiswa_391,Laki-Laki,2/10/1996 0:00,Yogyakarta,Akuntansi,2017
NIM00392,Mahasiswa_392,Laki-Laki,4/15/1997 0:00,Bandung,Manajemen,2019
NIM00393,Mahasiswa_393,Perempuan,7/11/2000 0:00,Surabaya,Teknik Informatika,2021
NIM00394,Mahasiswa_394,Perempuan,10/5/1999 0:00,Surabaya,Kedokteran,2018
NIM00395,Mahasiswa_395,Laki-Laki,12/20/2002 0:00,Bandung,Kedokteran,2023
NIM00396,Mahasiswa_396,Perempuan,8/25/2003 0:00,Yogyakarta,Hukum,2019
NIM00397,Mahasiswa_397,Perempuan,8/9/1997 0:00,Medan,Akuntansi,2020
NIM00398,Mahasiswa_398,Perempuan,3/8/2004 0:00,Bandung,Akuntansi,2017
NIM00399,Mahasiswa_399,Perempuan,7/16/1997 0:00,Jakarta,Teknik Informatika,2019
NIM00400,Mahasiswa_400,Laki-Laki,9/13/1997 0:00,Yogyakarta,Kedokteran,2019
NIM00401,Mahasiswa_401,Perempuan,5/18/2000 0:00,Surabaya,Hukum,2021
NIM00402,Mahasiswa_402,Perempuan,11/8/1995 0:00,Bandung,Teknik Informatika,2019
NIM00403,Mahasiswa_403,Laki-Laki,5/29/2001 0:00,Surabaya,Akuntansi,2021
NIM00404,Mahasiswa_404,Laki-Laki,4/9/1995 0:00,Yogyakarta,Kedokteran,2017
NIM00405,Mahasiswa_405,Perempuan,3/17/1999 0:00,Surabaya,Hukum,2017
NIM00406,Mahasiswa_406,Perempuan,10/8/2004 0:00,Bandung,Manajemen,2020
NIM00407,Mahasiswa_407,Perempuan,4/19/2002 0:00,Yogyakarta,Kedokteran,2021
NIM00408,Mahasiswa_408,Perempuan,7/7/1998 0:00,Jakarta,Hukum,2021
NIM00409,Mahasiswa_409,Perempuan,7/18/1999 0:00,Bandung,Teknik Informatika,2018
NIM00410,Mahasiswa_410,Perempuan,10/30/1998 0:00,Medan,Manajemen,2018
NIM00411,Mahasiswa_411,Laki-Laki,11/23/1998 0:00,Bandung,Hukum,2020
NIM00412,Mahasiswa_412,Perempuan,6/3/2002 0:00,Yogyakarta,Hukum,2017
NIM00413,Mahasiswa_413,Perempuan,2/9/1996 0:00,Bandung,Akuntansi,2022
NIM00414,Mahasiswa_414,Laki-Laki,5/13/1995 0:00,Jakarta,Kedokteran,2018
NIM00415,Mahasiswa_415,Laki-Laki,5/12/1997 0:00,Jakarta,Akuntansi,2019
NIM00416,Mahasiswa_416,Laki-Laki,10/6/2003 0:00,Medan,Manajemen,2017
NIM00417,Mahasiswa_417,Laki-Laki,12/28/1998 0:00,Surabaya,Hukum,2022
NIM00418,Mahasiswa_418,Perempuan,3/24/2004 0:00,Yogyakarta,Akuntansi,2019
NIM00419,Mahasiswa_419,Perempuan,8/30/1999 0:00,Yogyakarta,Kedokteran,2023
NIM00420,Mahasiswa_420,Perempuan,4/25/1996 0:00,Surabaya,Manajemen,2021
NIM00421,Mahasiswa_421,Perempuan,4/19/1998 0:00,Jakarta,Teknik Informatika,2017
NIM00422,Mahasiswa_422,Perempuan,8/8/1996 0:00,Jakarta,Akuntansi,2023
NIM00423,Mahasiswa_423,Perempuan,2/10/1996 0:00,Bandung,Manajemen,2020
NIM00424,Mahasiswa_424,Laki-Laki,5/27/1998 0:00,Medan,Teknik Informatika,2021
NIM00425,Mahasiswa_425,Perempuan,4/21/2000 0:00,Medan,Akuntansi,2021
NIM00426,Mahasiswa_426,Laki-Laki,4/13/2001 0:00,Medan,Manajemen,2019
NIM00427,Mahasiswa_427,Laki-Laki,2/15/2004 0:00,Bandung,Manajemen,2023
NIM00428,Mahasiswa_428,Perempuan,11/20/1997 0:00,Medan,Akuntansi,2021
NIM00429,Mahasiswa_429,Laki-Laki,9/28/1997 0:00,Surabaya,Manajemen,2018
NIM00430,Mahasiswa_430,Perempuan,7/13/2004 0:00,Bandung,Hukum,2017
NIM00431,Mahasiswa_431,Laki-Laki,10/6/2000 0:00,Surabaya,Akuntansi,2018
NIM00432,Mahasiswa_432,Perempuan,10/10/1997 0:00,Bandung,Manajemen,2019
NIM00433,Mahasiswa_433,Laki-Laki,2/9/1996 0:00,Medan,Teknik Informatika,2022
NIM00434,Mahasiswa_434,Perempuan,7/8/2002 0:00,Surabaya,Teknik Informatika,2019
NIM00435,Mahasiswa_435,Perempuan,6/13/1999 0:00,Surabaya,Hukum,2017
NIM00436,Mahasiswa_436,Perempuan,1/24/1995 0:00,Surabaya,Akuntansi,2021
NIM00437,Mahasiswa_437,Perempuan,1/24/1997 0:00,Bandung,Manajemen,2023
NIM00438,Mahasiswa_438,Perempuan,1/4/2004 0:00,Yogyakarta,Manajemen,2023
NIM00439,Mahasiswa_439,Laki-Laki,11/19/2002 0:00,Medan,Teknik Informatika,2020
NIM00440,Mahasiswa_440,Laki-Laki,10/17/1998 0:00,Surabaya,Hukum,2019
NIM00441,Mahasiswa_441,Laki-Laki,6/30/2001 0:00,Yogyakarta,Teknik Informatika,2017
NIM00442,Mahasiswa_442,Perempuan,9/4/2004 0:00,Medan,Teknik Informatika,2020
NIM00443,Mahasiswa_443,Laki-Laki,4/25/1996 0:00,Medan,Hukum,2021
NIM00444,Mahasiswa_444,Perempuan,10/6/2001 0:00,Surabaya,Akuntansi,2022
NIM00445,Mahasiswa_445,Perempuan,12/31/1999 0:00,Surabaya,Manajemen,2019
NIM00446,Mahasiswa_446,Laki-Laki,3/10/1999 0:00,Bandung,Akuntansi,2022
NIM00447,Mahasiswa_447,Laki-Laki,12/16/2000 0:00,Yogyakarta,Kedokteran,2017
NIM00448,Mahasiswa_448,Perempuan,9/11/2003 0:00,Yogyakarta,Kedokteran,2022
NIM00449,Mahasiswa_449,Laki-Laki,6/29/2000 0:00,Surabaya,Kedokteran,2022
NIM00450,Mahasiswa_450,Perempuan,11/14/2002 0:00,Medan,Hukum,2017
NIM00451,Mahasiswa_451,Perempuan,6/18/2001 0:00,Surabaya,Teknik Informatika,2017
NIM00452,Mahasiswa_452,Perempuan,11/9/2003 0:00,Medan,Akuntansi,2019
NIM00453,Mahasiswa_453,Perempuan,9/6/1998 0:00,Medan,Manajemen,2022
NIM00454,Mahasiswa_454,Perempuan,7/6/1996 0:00,Surabaya,Kedokteran,2020
NIM00455,Mahasiswa_455,Laki-Laki,2/23/2001 0:00,Jakarta,Akuntansi,2017
NIM00456,Mahasiswa_456,Laki-Laki,11/21/2000 0:00,Yogyakarta,Kedokteran,2021
NIM00457,Mahasiswa_457,Perempuan,12/23/1995 0:00,Medan,Kedokteran,2022
NIM00458,Mahasiswa_458,Perempuan,11/9/2003 0:00,Medan,Manajemen,2017
NIM00459,Mahasiswa_459,Laki-Laki,5/18/2003 0:00,Jakarta,Hukum,2020
NIM00460,Mahasiswa_460,Laki-Laki,6/16/1996 0:00,Bandung,Teknik Informatika,2023
NIM00461,Mahasiswa_461,Perempuan,4/13/1997 0:00,Jakarta,Hukum,2019
NIM00462,Mahasiswa_462,Laki-Laki,3/26/1999 0:00,Jakarta,Akuntansi,2022
NIM00463,Mahasiswa_463,Perempuan,11/13/1999 0:00,Medan,Hukum,2023
NIM00464,Mahasiswa_464,Laki-Laki,7/31/1995 0:00,Yogyakarta,Akuntansi,2017
NIM00465,Mahasiswa_465,Perempuan,1/3/2002 0:00,Jakarta,Akuntansi,2017
NIM00466,Mahasiswa_466,Laki-Laki,6/28/2002 0:00,Bandung,Teknik Informatika,2021
NIM00467,Mahasiswa_467,Perempuan,12/8/1998 0:00,Surabaya,Manajemen,2021
NIM00468,Mahasiswa_468,Laki-Laki,10/30/2001 0:00,Jakarta,Teknik Informatika,2022
NIM00469,Mahasiswa_469,Laki-Laki,11/27/2004 0:00,Jakarta,Hukum,2023
NIM00470,Mahasiswa_470,Perempuan,2/7/1997 0:00,Bandung,Akuntansi,2023
NIM00471,Mahasiswa_471,Laki-Laki,8/26/2000 0:00,Yogyakarta,Kedokteran,2017
NIM00472,Mahasiswa_472,Perempuan,6/17/2004 0:00,Jakarta,Kedokteran,2022
NIM00473,Mahasiswa_473,Laki-Laki,12/8/2004 0:00,Jakarta,Akuntansi,2017
NIM00474,Mahasiswa_474,Perempuan,11/10/2003 0:00,Yogyakarta,Teknik Informatika,2021
NIM00475,Mahasiswa_475,Laki-Laki,11/2/1995 0:00,Bandung,Manajemen,2020
NIM00476,Mahasiswa_476,Perempuan,1/30/1999 0:00,Jakarta,Teknik Informatika,2018
NIM00477,Mahasiswa_477,Laki-Laki,7/9/1998 0:00,Yogyakarta,Akuntansi,2018
NIM00478,Mahasiswa_478,Perempuan,12/23/2002 0:00,Jakarta,Akuntansi,2017
NIM00479,Mahasiswa_479,Laki-Laki,1/25/1995 0:00,Surabaya,Manajemen,2023
NIM00480,Mahasiswa_480,Perempuan,4/22/2003 0:00,Medan,Hukum,2021
NIM00481,Mahasiswa_481,Perempuan,7/24/2000 0:00,Surabaya,Hukum,2019
NIM00482,Mahasiswa_482,Perempuan,7/4/1998 0:00,Jakarta,Manajemen,2019
NIM00483,Mahasiswa_483,Laki-Laki,2/16/2003 0:00,Bandung,Hukum,2018
NIM00484,Mahasiswa_484,Perempuan,8/16/1999 0:00,Medan,Kedokteran,2020
NIM00485,Mahasiswa_485,Laki-Laki,2/8/1999 0:00,Surabaya,Hukum,2018
NIM00486,Mahasiswa_486,Perempuan,1/16/1999 0:00,Yogyakarta,Hukum,2017
NIM00487,Mahasiswa_487,Laki-Laki,1/22/1995 0:00,Bandung,Hukum,2020
NIM00488,Mahasiswa_488,Perempuan,8/1/1995 0:00,Surabaya,Kedokteran,2019
NIM00489,Mahasiswa_489,Laki-Laki,11/6/2002 0:00,Yogyakarta,Hukum,2023
NIM00490,Mahasiswa_490,Laki-Laki,5/29/2002 0:00,Jakarta,Kedokteran,2021
NIM00491,Mahasiswa_491,Perempuan,8/28/2000 0:00,Yogyakarta,Manajemen,2021
NIM00492,Mahasiswa_492,Laki-Laki,9/29/1998 0:00,Surabaya,Teknik Informatika,2017
NIM00493,Mahasiswa_493,Laki-Laki,2/28/1996 0:00,Surabaya,Manajemen,2018
NIM00494,Mahasiswa_494,Perempuan,10/13/1996 0:00,Jakarta,Teknik Informatika,2017
NIM00495,Mahasiswa_495,Laki-Laki,7/21/2003 0:00,Yogyakarta,Manajemen,2021
NIM00496,Mahasiswa_496,Laki-Laki,2/1/1999 0:00,Yogyakarta,Teknik Informatika,2019
NIM00497,Mahasiswa_497,Laki-Laki,6/11/1998 0:00,Jakarta,Teknik Informatika,2021
NIM00498,Mahasiswa_498,Perempuan,9/11/2004 0:00,Yogyakarta,Akuntansi,2020
NIM00499,Mahasiswa_499,Laki-Laki,9/11/1995 0:00,Jakarta,Teknik Informatika,2023
NIM00500,Mahasiswa_500,Perempuan,1/9/2001 0:00,Bandung,Teknik Informatika,2023
NIM00501,Mahasiswa_501,Laki-Laki,5/19/1997 0:00,Surabaya,Akuntansi,2022
NIM00502,Mahasiswa_502,Laki-Laki,1/10/2000 0:00,Bandung,Hukum,2021
NIM00503,Mahasiswa_503,Laki-Laki,8/2/1999 0:00,Medan,Hukum,2021
NIM00504,Mahasiswa_504,Perempuan,9/30/1999 0:00,Medan,Akuntansi,2023
NIM00505,Mahasiswa_505,Laki-Laki,11/20/1999 0:00,Medan,Kedokteran,2022
NIM00506,Mahasiswa_506,Laki-Laki,2/17/1995 0:00,Jakarta,Teknik Informatika,2020
NIM00507,Mahasiswa_507,Perempuan,4/21/1995 0:00,Yogyakarta,Teknik Informatika,2018
NIM00508,Mahasiswa_508,Laki-Laki,6/2/1997 0:00,Bandung,Akuntansi,2021
NIM00509,Mahasiswa_509,Perempuan,5/2/2004 0:00,Bandung,Akuntansi,2023
NIM00510,Mahasiswa_510,Perempuan,12/23/1998 0:00,Bandung,Kedokteran,2017
NIM00511,Mahasiswa_511,Laki-Laki,4/12/1999 0:00,Bandung,Hukum,2021
NIM00512,Mahasiswa_512,Perempuan,8/28/1996 0:00,Medan,Manajemen,2017
NIM00513,Mahasiswa_513,Laki-Laki,11/17/2002 0:00,Bandung,Hukum,2020
NIM00514,Mahasiswa_514,Perempuan,7/9/1996 0:00,Yogyakarta,Teknik Informatika,2021
NIM00515,Mahasiswa_515,Perempuan,8/5/2003 0:00,Medan,Akuntansi,2023
NIM00516,Mahasiswa_516,Laki-Laki,2/20/1996 0:00,Bandung,Kedokteran,2020
NIM00517,Mahasiswa_517,Perempuan,10/19/2003 0:00,Jakarta,Hukum,2020
NIM00518,Mahasiswa_518,Perempuan,3/22/2001 0:00,Surabaya,Kedokteran,2018
NIM00519,Mahasiswa_519,Perempuan,3/29/2002 0:00,Surabaya,Hukum,2021
NIM00520,Mahasiswa_520,Perempuan,7/12/1996 0:00,Surabaya,Teknik Informatika,2017
NIM00521,Mahasiswa_521,Perempuan,4/14/2001 0:00,Medan,Manajemen,2017
NIM00522,Mahasiswa_522,Laki-Laki,9/27/2000 0:00,Bandung,Kedokteran,2021
NIM00523,Mahasiswa_523,Perempuan,4/6/1998 0:00,Medan,Kedokteran,2022
NIM00524,Mahasiswa_524,Laki-Laki,7/17/2001 0:00,Yogyakarta,Manajemen,2018
NIM00525,Mahasiswa_525,Perempuan,1/1/1998 0:00,Jakarta,Kedokteran,2018
NIM00526,Mahasiswa_526,Laki-Laki,6/15/1996 0:00,Jakarta,Kedokteran,2018
NIM00527,Mahasiswa_527,Laki-Laki,5/5/2004 0:00,Surabaya,Hukum,2017
NIM00528,Mahasiswa_528,Perempuan,11/9/2001 0:00,Surabaya,Hukum,2020
NIM00529,Mahasiswa_529,Perempuan,3/22/2002 0:00,Surabaya,Manajemen,2023
NIM00530,Mahasiswa_530,Perempuan,9/7/1996 0:00,Bandung,Teknik Informatika,2022
NIM00531,Mahasiswa_531,Laki-Laki,6/18/1999 0:00,Yogyakarta,Kedokteran,2018
NIM00532,Mahasiswa_532,Perempuan,3/14/1995 0:00,Yogyakarta,Teknik Informatika,2017
NIM00533,Mahasiswa_533,Laki-Laki,5/21/2001 0:00,Yogyakarta,Manajemen,2017
NIM00534,Mahasiswa_534,Laki-Laki,3/11/2002 0:00,Yogyakarta,Manajemen,2020
NIM00535,Mahasiswa_535,Laki-Laki,9/18/2000 0:00,Surabaya,Hukum,2021
NIM00536,Mahasiswa_536,Perempuan,12/6/1999 0:00,Jakarta,Kedokteran,2021
NIM00537,Mahasiswa_537,Perempuan,11/3/2000 0:00,Surabaya,Akuntansi,2023
NIM00538,Mahasiswa_538,Laki-Laki,9/1/1996 0:00,Yogyakarta,Manajemen,2023
NIM00539,Mahasiswa_539,Laki-Laki,1/3/1995 0:00,Surabaya,Kedokteran,2018
NIM00540,Mahasiswa_540,Perempuan,12/3/2001 0:00,Yogyakarta,Teknik Informatika,2023
NIM00541,Mahasiswa_541,Laki-Laki,3/4/2001 0:00,Medan,Hukum,2018
NIM00542,Mahasiswa_542,Perempuan,2/18/2004 0:00,Jakarta,Teknik Informatika,2022
NIM00543,Mahasiswa_543,Laki-Laki,3/16/2004 0:00,Medan,Manajemen,2023
NIM00544,Mahasiswa_544,Perempuan,6/23/1996 0:00,Bandung,Manajemen,2020
NIM00545,Mahasiswa_545,Laki-Laki,4/18/1996 0:00,Surabaya,Teknik Informatika,2018
NIM00546,Mahasiswa_546,Perempuan,7/2/1995 0:00,Bandung,Manajemen,2020
NIM00547,Mahasiswa_547,Laki-Laki,7/10/2004 0:00,Surabaya,Kedokteran,2017
NIM00548,Mahasiswa_548,Perempuan,3/6/2002 0:00,Medan,Manajemen,2018
NIM00549,Mahasiswa_549,Perempuan,12/3/2002 0:00,Yogyakarta,Hukum,2017
NIM00550,Mahasiswa_550,Laki-Laki,9/28/1995 0:00,Yogyakarta,Kedokteran,2019
NIM00551,Mahasiswa_551,Laki-Laki,4/10/2002 0:00,Surabaya,Akuntansi,2020
NIM00552,Mahasiswa_552,Perempuan,2/1/2003 0:00,Yogyakarta,Manajemen,2019
NIM00553,Mahasiswa_553,Laki-Laki,12/18/1998 0:00,Medan,Manajemen,2018
NIM00554,Mahasiswa_554,Perempuan,5/8/1995 0:00,Yogyakarta,Hukum,2017
NIM00555,Mahasiswa_555,Laki-Laki,12/5/1995 0:00,Medan,Hukum,2018
NIM00556,Mahasiswa_556,Perempuan,2/12/1997 0:00,Bandung,Teknik Informatika,2019
NIM00557,Mahasiswa_557,Perempuan,3/19/1999 0:00,Medan,Teknik Informatika,2018
NIM00558,Mahasiswa_558,Perempuan,11/10/1999 0:00,Jakarta,Teknik Informatika,2022
NIM00559,Mahasiswa_559,Perempuan,10/16/2003 0:00,Jakarta,Hukum,2021
NIM00560,Mahasiswa_560,Perempuan,9/26/2004 0:00,Jakarta,Teknik Informatika,2019
